Company,FinancialPolicies
RELIANCE,"Gross Revenue
EBITDA
Profit After Tax
Capital Expenditure
Gross Revenue
EBITDA
Profit After Tax
Capital Expenditure
Two notches above India's sovereign rating
international debt
One notch above India's sovereign rating
international debt
Highest rating awarded by CRISIL
Long-term debt
Highest rating awarded by India Rating
Long-term debt
Highest rating awarded by CARE
Long-term debt
Highest rating awarded by ICRA
Long-Term Debt"
TCS,"Leading the way in innovation for over 55 years, we build greater futures for businesses across multiple industries and 55 countries.
Our expert, committed team put our shared beliefs into action – every day. Together, we combine innovation and collective knowledge to create the extraordinary.
We share news, insights, analysis and research – tailored to your unique interests – to help you deepen your knowledge and impact.
At TCS, we believe exceptional work begins with hiring, celebrating and nurturing the best people — from all walks of life.
Get access to a catalog of the latest news stories from across TCS. Discover our press releases, reports, and company announcements.
Leading the way in innovation for over 55 years, we build greater futures for businesses across multiple industries and 55 countries.
Our expert, committed team put our shared beliefs into action – every day. Together, we combine innovation and collective knowledge to create the extraordinary.
We share news, insights, analysis and research – tailored to your unique interests – to help you deepen your knowledge and impact.
At TCS, we believe exceptional work begins with hiring, celebrating and nurturing the best people — from all walks of life.
Get access to a catalog of the latest news stories from across TCS. Discover our press releases, reports, and company announcements.
Investor Relations
Revenue: US$7.67 billion, +6.4% YoY, +5.5% YoY in Constant CurrencyNet Income: US$1.42 billion, +3.8% YoYNet Margin: 18.5%
Revenue: US$7.67 billion, +6.4% YoY, +5.5% YoY in Constant Currency
Net Income: US$1.42 billion, +3.8% YoY
Net Margin: 18.5%
Pricing delayed
Pricing delayed
CC Growth: 3.4% YoY
Total Contract Value (TCV)
Operating margin: 24.6%
Net Margin: 19.3%


April - June
July - September
October - December
January - March


TCS Data SheetDownload
Erstwhile CMC Financials
TCS Inks Deal with Bank of Bhutan to Modernize Digital Core, Enhance Customer Experience
TCS Awarded India’s Best Employer Brand by LinkedIn
TCS Partners With IIT KGP to Launch Advanced Research Center for Innovation in Digital Health, Robotics & Intelligent Systems
TCS Expands Partnership with SPARSH, India’s Pension System for Defence Personnel, by Three Years
SE intimation – Regulation 30 Disclosure
Schedule of Investor Interactions for Dec'24
SE intimation – Regulation 30 Disclosure
Schedule of Investor Interactions for Nov'24 - Dec'24
TCS’ 29th Annual General Meeting
TCS Buyback – 2023
TCS’ 28th Annual General Meeting: Discussing the Future Course
TCS' 27th Annual General Meeting
09 Jan 2025

Glossary of Terms
Analyst Coverage
Stock Information
Subscribe to Investor updates
Subsidiaries
FAQs
Unclaimed Dividend Information
Share Registrar / Transfer Agent* (For queries related to shares/dividends/compliances)

Link Intime India Private Limited
Ph:  +91 810 811 8484
Fax: +91-22-6656 8494
Website:https://tcpl.linkintime.co.in/
In case of any query, please raise a service request in electronic mode through the linkhttps://liiplweb.linkintime.co.in/helpdesk/Service_Request.html
Please find the addresses and other details of its Investor centers at Mumbai, New Delhi, Kolkata, Ahmedabad, Jamshedpur and Bengaluru on their website.
C-101, 1st Floor, 247 Park,
Lal Bahadur Shastri Marg,
Vikhroli (West), Mumbai 400 083
*Please cite the folio numbers (if you hold physical shares) or the DP ID and Client ID (if your holdings are dematerialized) in all your correspondence.
Shareholder Grievance Redressal

Shareholder Grievance Redressal Matrix
Registrar and Transfer Agent (RTA)
Link Intime India Private Limited
In case of any query, please raise a service requests in electronic mode through the linkhttps://liiplweb.linkintime.co.in/helpdesk/Service_Request.html
Mailing Address:C 101, 1st Floor, 247 Park, L.B.S.Marg,Vikhroli (West), Mumbai - 400083.
Contact Person: Ms. Supriya Mirashi / Ms. Smita Rao
Telephone number: (0) 810 811 8484
Fax: +91-22-6656 8494
OR
Compliance Officer
Tata Consultancy Services Limited
Email:Investor.Relations@tcs.com
Mailing Address:9th Floor, Nirmal Building,Nariman Point,Mumbai 400 021, India
Phone number: +91-22-6778 9595
Fax: +91-22-6778 9660

SEBI Complaint Redress System (SCORES)
Website:https://scores.gov.in/scores/Welcome.html
Toll free number: 1800 266 7575 or 1800 22 7575

Securities Market Approach for Resolution Through Online Dispute Resolution Portal  (SMART ODR Portal)
Website:https://smartodr.in/login
Phone: +91 – 8105148710
Nodal Officer IEPF (For queries on Unclaimed Dividend)

Yashaswin Narendra Sheth
Company Secretary
Email:yn.sheth@tcs.com
Tata Consultancy Services Limited9th Floor, Nirmal Building, Nariman Point,
Mumbai 400 021, India
Ph: +91-22-6778 9595
Fax: +91-22-6630 3672
Financial Disclosure And Governance

Samir Seksaria
Chief Financial Officer
Tata Consultancy Services Limited
9th Floor, Nirmal Building, Nariman Point,
Mumbai 400 021, India
Ph: +91-22-6778 9595
Fax: +91-22-6630 3672
Investor Relations (For queries related to institutional investors)

Nehal Shah
Email:nehal.shah@tcs.com
Tata Consultancy Services Limited
TCS House, Raveline Street, Fort,
Mumbai 400 001, India
Ph: +91-22-6778 9999
Register for our email updates to get the freshest takes, straight to your inbox.
Theme
Font size
Line height"
INFY,No data
HDFCBANK,"You've Been Logged Out
For security reasons, we have logged you out of HDFC Bank NetBanking. We do this when you refresh/move back on the browser on any NetBanking page.






See the Securities and Exchange Commission (SEC) details on the EDGAR database maintained by the U.S. This link is provided for informational purposes only.
KNOW MORE

General and contact information and frequently asked questions about HDFC Bank’s American Depository Receipts.
KNOW MORE



Disclosures under Regulation 46 of SEBI LODR

Disclosures under Regulation 62 of SEBI LODR"
ICICIBANK,No data
HINDUNILVR,"Hindustan Unilever LimitedChange location
The world must move further faster to avoid the worst effects of climate change.
We are committed to contributing to the protection and regeneration of nature within and beyond our value chain.
Given the size of the plastics challenge, we are using our innovation capabilities to find new, scalable solutions.
We are working to improve the livelihoods of people in our value chain.
Know more about sustainability in our comprehensive reports.
We're always looking to connect with those who share an interest in a sustainable future.
Get in touch with our specialist teams in Hindustan Unilever Limited headquarters, the Unilever PLC team, or find contacts around the world.
Hindustan Unilever Limited
© Unilever 2024"
AXISBANK,No data
SBIN,"By clicking on the proceed, you will be leaving State Bank of India Website and navigating to the website operated by third party vendor(s). State Bank of India does not control or endorse such websites, and bears no responsibility for them. This website is governed by the terms and conditions of the third-party vendor(s).
By clicking on the proceed, you will be leaving State Bank of India Website and navigating to the website operated by third party vendor(s). State Bank of India does not control or endorse such websites, and bears no responsibility for them. This website is governed by the terms and conditions of the third-party vendor(s).
Construction of Cold Storage/ Warehouse Scheme
Rinn Samadhan 2024-25 Scheme (For Agri Segment)

State Bank of India, the country's largest commercial Bank in terms of assets, deposits, branches and employees, welcomes you to its ‘Investors Relations' section. SBI, with its heritage dating back to the year 1806, strives to continuously provide latest and up to date information on its financial performance. The Bank communicates with the stakeholders through a variety of channels, such as through e-mail, website, conference call, one-on-one meeting, analysts' meet and attendance at Investor Conference throughout the world. The Bank's financial results, analysis of performance and other highlights are given in this section.
Last Updated On : Wednesday, 03-04-2024
w.e.f. 05.04.2024


*T&C Apply.

*T&C Apply.
less than Rs.10 Cr. w.e.f 15.10.22
Rs.10 Cr. and above w.e.f 15.10.22
*T & C Apply
Balance below Rs. 10 crs
Balance Rs. 10 crores and above




2 years to less than 3 year
5 years and up to 10 years

*T&C Apply.

w.e.f 15.11.2024

IMPORTANT: State Bank of India never ask for your user id / password / pin no. through phone call / SMSes / e-mails. Any such phone call / SMSes / e-mails asking you to reveal credential or One Time Password through SMS could be attempt to withdraw money from your account.NEVER share these details to anyone.State Bank of India wants you to be secure. If you come across any such instances please inform us through e-mail to the following address-
© Copyright State Bank of India (APM Id : Webs_Info_875)
Site best viewed at 1420 x 768 resolution in Edge, Mozilla 40 +, Google Chrome 45 +
By clicking on the link ""PROCEED"" you will be re-directed to a third party website which is neither owned nor controlled nor endorsed in any manner by State Bank Group (SBG). SBI Finder will enable you to locate the ATMs, CDMs, E-Corners and Branches of State Bank of India, view them on maps and get directions to reach there. The information is being provided only for customer convenience and the information, advices, suggestions, illustrations etc. are hereby collectively stated as ""content"" for this linked site. If the said content contains any mistakes, omissions, inaccuracies and typographical errors, etc. SBG assumes no responsibility thereof. Any action on your part on the basis of the said content is at your own risk and responsibility, and SBG makes no warranty or representation regarding any content provided through this linked site and disclaims all its liabilities in respect thereof. The content available on this linked site is subject to revision, verification and amendment without notice. Thank you for visitingbank.sbi
Ask Sia
SIA is Typing...
character(s) remaining
Was this helpful ?


(Please enter your 10 digit Indian mobile Number)
"
MARUTI,No data
LT,No data
